,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11535634,Brother,No,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11535989,Nephew,No,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11536061,Nephew,No,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11536112,Nephew,No,,,
19566,chg,Male,No,Inactive,Primary Name,,,Blandin,E.,Razafimanjato,,Politically Exposed Person (PEP),,,Primary Occupation,National Government Ministers,See Previous Roles,,,,,,,Date of Birth,02,Jun,1950,,,,,,,,,,,,,,,,,,,,Citizenship,Madagascar,,,,,  ,,751522,Wife,No,,29-Aug-2023,
,,,,,,,,,,,,,,,Previous Roles,State Agency Officials,"Governor, Central Bank of Madagascar (BCM)",,,1988,,,1993,Inactive as of (PEP),07,Aug,2003,,,,,,,,,,,,,,,,,,,,Resident of,Madagascar,,,,,,,1103271,Son,No,,,
,,,,,,,,,,,,,,,,National Government Ministers,Minister of Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jurisdiction,Madagascar,,,,,,,13128660,Brother,No,,,
,,,,,,,,,,,,,,,,National Government Ministers,Minister of Tourism,,,,,Jul,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13128661,Brother,No,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13128666,Sister,No,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13128667,Brother,No,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13128670,Brother,No,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13128673,Sister-in-law,No,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13128675,Nephew,No,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13128678,Nephew,No,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13128679,Niece,No,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13128681,Nephew,No,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13128685,Nephew,No,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13128691,Brother,No,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13128694,Sister-in-law,No,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13128697,Nephew,No,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13128702,Niece,No,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13128703,Nephew,No,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13128704,Nephew,No,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13128706,Niece,No,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13128716,Father-in-law,No,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13128717,Mother-in-law,No,,,
